Full Name,Gender,Date of Birth,University_Name,Current Academic Year,Cumulative Grade Point Average (GPA),Preferred Learning Style,Average Weekly Study Hours,Attendance Regularity,Parental Education Level,Monthly Household Income,Participation in Extracurricular Activities,Social Media Spending Time,Sleeping Hours
Shawn Williams,Male,1/3/1952,University of Jaffna,4th,3.84,Auditory,13.28,9,Bachelor's,Medium,Yes,1,4.42
Alyssa Fisher,Male,8/30/1985,Sabaragamuwa University,2nd,2.72,Visual,20.49,5,High School,High,Yes,3.02,9.26
Jenna Middleton,Male,12/25/1980,Rajarata University,4th,3.66,Auditory,8.11,8,Other,High,No,3.56,5.75
Lindsey Martin,Female,1/27/1968,Sabaragamuwa University,2nd,3.19,Kinesthetic,18.02,4,Ph.D.,Medium,No,2.1,8.46
Jason Lawrence,Female,12/23/2014,University of Colombo,2nd,2.82,Auditory,18.34,9,Other,High,Yes,2.52,9.52
Diane Gordon DVM,Male,1/12/2002,University of Moratuwa,2nd,2.17,Visual,23.09,2,Ph.D.,Low,Yes,3.14,7.84
Mark Miranda,Male,1/4/1977,University of Jaffna,1st,3.41,Kinesthetic,10.33,1,Ph.D.,Low,No,0.64,6.55
Nicole Gonzalez,Female,7/2/1986,University of Kelaniya,2nd,2.61,Visual,8.01,7,Master's,High,Yes,1.22,4.2
Cassandra Silva,Female,1/21/1956,University of Kelaniya,3rd,2.85,Auditory,17.29,4,Ph.D.,Medium,No,0.48,9.27
Mark Carter,Female,5/23/1967,Rajarata University,4th,2.75,Auditory,9.94,8,High School,Low,Yes,3.83,6.02
Michael Adams,Female,1/1/1981,University of Ruhuna,4th,3.33,Kinesthetic,8.25,1,Master's,High,No,2.37,8.59
Hannah Anderson,Female,1/12/2005,University of Moratuwa,3rd,3.87,Auditory,17.97,8,Other,Low,Yes,4.58,8.46
Carol Jordan,Female,2/2/1931,Rajarata University,3rd,2.12,Auditory,21.08,3,Ph.D.,Medium,No,3.52,8.28
Billy Page,Male,12/27/1960,University of Jaffna,3rd,3.39,Visual,10.63,2,High School,Low,Yes,3.95,9.74
Paula Gardner,Female,3/29/1929,University of Jaffna,3rd,3.6,Auditory,9.58,9,High School,Low,No,3.03,6.08
Caroline Clark,Male,10/8/1930,University of Jaffna,4th,3.42,Auditory,22.49,6,Ph.D.,Medium,No,1.78,8.34
Joseph Fuentes,Female,1/12/1912,University of Kelaniya,1st,2.94,Kinesthetic,16.44,1,Master's,Medium,No,1.63,4.81
Stephen Fitzgerald,Female,9/19/1921,University of Peradeniya,2nd,2.1,Auditory,12.65,9,Ph.D.,Low,Yes,2.24,9.26
Frances Wilson,Male,9/30/1995,University of Moratuwa,1st,2.09,Auditory,24.41,3,High School,Medium,No,1.56,9.96
Sarah Ortiz,Male,3/2/1946,University of Ruhuna,4th,2.23,Auditory,27.04,3,Bachelor's,High,No,3.95,8.69
Stephanie Peterson,Female,3/30/1943,University of Moratuwa,4th,2.51,Kinesthetic,16.81,7,Master's,High,No,2.65,4.84
Evelyn Neal,Female,8/1/1924,University of Moratuwa,3rd,2.03,Kinesthetic,14.31,2,Ph.D.,Medium,No,1.81,5.57
Victoria Manning,Male,10/2/1974,Eastern University,2nd,2.35,Auditory,12.97,7,Ph.D.,Low,No,2.18,4.96
Spencer Riddle,Male,1/16/1956,University of Moratuwa,4th,3.32,Kinesthetic,25.14,4,Bachelor's,Low,No,1.72,7.21
Travis Hunt,Female,4/21/1914,Rajarata University,3rd,3.65,Visual,5.67,5,Master's,Low,No,4.65,7.27
Whitney Hess,Male,4/9/1952,Eastern University,1st,2.68,Auditory,28.16,1,Ph.D.,High,Yes,0.36,4.66
Brittany Smith,Female,7/29/2001,University of Peradeniya,2nd,3.68,Auditory,22.23,6,Other,Medium,Yes,3.96,6.54
Michele Walls,Male,9/5/1995,Rajarata University,4th,3.18,Visual,17.16,5,Master's,Low,No,4.07,9.51
Melissa Holland,Female,12/17/2020,University of Moratuwa,3rd,2.02,Visual,13.8,7,High School,Low,Yes,4.98,8.85
Matthew Holden,Female,5/12/2007,Sabaragamuwa University,3rd,3.84,Visual,9.57,5,Bachelor's,Medium,Yes,2.36,5.7
Michael Mendez,Female,8/16/1965,University of Kelaniya,3rd,3.04,Auditory,29.5,10,Master's,High,Yes,4.19,9.23
Ricky Smith,Female,10/23/1999,University of Colombo,2nd,3.71,Visual,28.02,9,High School,Medium,Yes,4.36,6.85
Ruth Castillo,Male,12/31/1998,University of Ruhuna,4th,2.35,Kinesthetic,15.53,6,Ph.D.,Medium,Yes,1.24,8.02
Jesse Silva,Male,6/16/1955,University of Ruhuna,4th,3.78,Kinesthetic,25.85,10,Bachelor's,High,No,2.86,7.15
John Rowe,Female,10/20/1952,Rajarata University,1st,3.17,Kinesthetic,6.01,1,Other,Low,No,2.84,5.48
Kristina Wilcox,Male,11/11/1972,University of Ruhuna,3rd,3.61,Visual,16.92,2,High School,Medium,No,3.45,4.93
Scott Mccall,Female,3/25/1959,Eastern University,1st,2.72,Visual,24.91,8,Bachelor's,Low,No,0.01,8.78
Ronald Atkinson,Male,2/26/1980,University of Jaffna,1st,3.19,Auditory,8.95,6,Ph.D.,Medium,Yes,4.47,5.93
Kelly Franklin,Female,4/16/2002,Sabaragamuwa University,3rd,2.6,Kinesthetic,21.02,3,High School,High,No,4.86,5.8
Michael Sullivan,Male,6/29/2014,University of Colombo,1st,2.43,Kinesthetic,19.6,5,Master's,High,No,4.68,7.31
Chad Price,Male,7/9/1982,University of Ruhuna,2nd,2.04,Auditory,28.73,1,Bachelor's,Low,No,0.62,7.73
Krystal Hendricks,Male,10/8/1968,University of Ruhuna,4th,3.47,Auditory,11.94,1,Bachelor's,Medium,Yes,0.72,8.52
Angie Chapman,Male,12/5/1932,Rajarata University,3rd,3.07,Kinesthetic,7.63,2,Other,Medium,No,3.39,9.85
Jonathon Gibson,Male,3/30/1954,University of Moratuwa,3rd,3.62,Auditory,22.25,8,Master's,High,Yes,2.26,5.24
Brian Whitaker,Male,11/27/1933,University of Kelaniya,4th,2.58,Visual,26.62,6,Ph.D.,High,Yes,3.28,7
Matthew Kennedy Jr.,Female,6/9/1992,University of Peradeniya,4th,3.32,Auditory,16.8,6,Master's,Medium,Yes,3.29,7.49
Caitlin Phelps,Male,7/26/1970,University of Colombo,2nd,3.43,Kinesthetic,18.77,1,Ph.D.,High,No,0.78,8.63
Briana Jones,Male,9/3/1925,University of Moratuwa,1st,2.79,Auditory,17.86,5,Other,Medium,No,4.07,5.34
James Benton,Male,1/22/1927,University of Kelaniya,1st,3.52,Kinesthetic,15.52,10,Ph.D.,High,Yes,3.47,6.2
Deborah Hall,Male,2/28/1911,University of Kelaniya,3rd,3.07,Visual,23.77,4,Other,Medium,No,2.63,7.31
Charles Cain,Female,2/3/1921,Rajarata University,3rd,2.99,Auditory,23.49,6,Master's,High,Yes,4.87,8.68
Sean Morrow,Female,9/19/1979,Sabaragamuwa University,1st,2.65,Auditory,22.21,8,High School,Low,Yes,3.04,5.24
Justin Smith,Female,11/10/1981,University of Ruhuna,1st,3.5,Auditory,27.88,9,Bachelor's,Low,Yes,2.37,7.2
Kristin Campos,Male,3/4/1969,University of Ruhuna,3rd,2.88,Kinesthetic,5.01,2,Ph.D.,Low,Yes,0.3,7.01
Michael Velazquez MD,Female,6/20/1999,University of Moratuwa,4th,3.05,Kinesthetic,25.84,5,Other,Low,No,0.9,4.67
Grace Davis,Female,4/15/1971,University of Peradeniya,1st,2.26,Visual,28.8,2,High School,Medium,Yes,3.38,7.55
Darrell Roberson,Male,8/20/1937,Eastern University,2nd,3.3,Auditory,23.77,3,Other,High,No,2.17,6.3
Danny Simpson,Female,9/11/1996,University of Jaffna,2nd,3.59,Visual,12.6,8,Master's,Low,No,0.29,6.63
Katrina Peterson,Female,5/26/1950,University of Moratuwa,1st,3.2,Auditory,17.45,8,Other,Low,Yes,1.76,6.07
Kenneth Perez,Female,1/19/1913,Eastern University,4th,3.36,Kinesthetic,12.05,1,High School,High,Yes,0.31,7.37
James Chang,Female,12/19/1932,University of Jaffna,1st,3.27,Kinesthetic,17.41,2,Master's,Medium,No,4.23,8.68
Timothy Newton,Female,6/26/1959,University of Kelaniya,4th,3.82,Visual,14.24,6,Master's,Medium,No,0.57,8.01
Dr. Ian Cruz,Female,1/6/1979,University of Peradeniya,2nd,3.16,Visual,16.65,4,Ph.D.,Medium,Yes,3.77,4.82
Richard Morales,Male,4/26/1998,University of Moratuwa,3rd,2.95,Kinesthetic,16.37,4,Bachelor's,Low,Yes,2.62,7.62
Kaitlin Douglas,Male,10/27/2007,University of Kelaniya,2nd,3.88,Kinesthetic,9.15,9,Master's,High,Yes,0.55,8.9
Thomas Reynolds,Male,9/16/1997,Eastern University,3rd,2.47,Auditory,14.91,8,Other,Low,Yes,0.12,5.86
James Miranda,Female,1/23/1995,University of Moratuwa,3rd,3.57,Kinesthetic,27.73,10,High School,Medium,Yes,4.02,8.79
Sharon Castillo MD,Female,4/3/1976,University of Moratuwa,2nd,2.44,Auditory,19.39,3,High School,Medium,No,3.81,6.44
Gregory Sanchez,Male,4/21/1930,Rajarata University,4th,2.71,Kinesthetic,13.63,9,Bachelor's,Medium,Yes,4.55,4.19
Tyler Porter,Male,3/1/1985,University of Colombo,1st,3.23,Visual,16.28,4,Ph.D.,Low,No,3.46,4.82
James Price,Female,6/10/1988,University of Kelaniya,1st,3.72,Kinesthetic,11.39,10,Bachelor's,Medium,Yes,2.37,6.81
Veronica Bray,Male,12/28/1938,University of Moratuwa,3rd,2.07,Visual,11.85,3,Other,High,Yes,3.21,7.42
Lisa Lowe,Female,12/10/1950,University of Ruhuna,3rd,2.94,Visual,28.73,10,High School,Medium,Yes,1.69,6.14
Katelyn Edwards,Female,12/23/1941,University of Ruhuna,3rd,2.85,Kinesthetic,23.09,2,Ph.D.,Medium,Yes,4.47,7.79
Anna Stewart,Male,5/22/2023,University of Colombo,1st,3.62,Kinesthetic,8.01,3,High School,High,No,1.21,5.14
Crystal Ponce,Male,10/4/1988,University of Moratuwa,2nd,2.5,Visual,27.94,4,Master's,Medium,No,1.96,5.94
Ms. Amanda Davis,Female,7/22/1949,University of Colombo,3rd,2.39,Auditory,14.44,9,High School,High,No,3.32,5.67
Gabriel Wilson,Male,6/26/1930,University of Colombo,1st,3.87,Visual,19.79,2,High School,Low,No,2.42,5.13
Helen Hall,Female,5/25/1947,Eastern University,2nd,3.13,Visual,28.39,2,Bachelor's,Medium,Yes,1.03,6.99
James Smith,Female,11/14/1935,Eastern University,1st,3.36,Kinesthetic,12.25,9,High School,High,No,2.02,6.53
Larry Donovan,Male,4/6/2004,Sabaragamuwa University,4th,2.11,Visual,27.19,8,Bachelor's,Low,Yes,1.48,4.91
Patrick Gonzalez,Male,9/14/1929,University of Kelaniya,3rd,2.68,Kinesthetic,27.42,5,Other,High,No,0.58,5.3
Steven Mathis,Female,10/17/1951,University of Jaffna,3rd,3.58,Visual,15.41,1,High School,High,Yes,2.73,6.6
Christopher Young,Female,12/11/1969,University of Colombo,4th,2.22,Auditory,9.05,1,Master's,Medium,Yes,3.56,4.07
Janet Aguirre,Male,1/22/1937,Eastern University,3rd,3.95,Auditory,26.88,8,Other,High,No,4.37,4.89
James Cannon,Female,6/26/1927,University of Peradeniya,4th,3.64,Auditory,6.5,5,Other,Medium,Yes,3.3,5.71
Debra Aguilar,Male,5/31/2019,Sabaragamuwa University,2nd,2.41,Auditory,7.41,4,Other,Low,Yes,0.8,8.24
Samantha Byrd,Female,9/19/2012,University of Moratuwa,4th,3.63,Visual,8.59,3,Master's,Medium,No,0.85,5.65
Linda Davis,Female,1/4/1911,University of Kelaniya,3rd,3.89,Auditory,13.65,7,High School,High,No,3.6,5.6
Michelle Nelson,Male,10/15/1969,University of Moratuwa,1st,2.58,Visual,25.16,3,Other,High,Yes,4.71,7.77
Lisa Hopkins,Male,12/18/1912,Sabaragamuwa University,2nd,3.78,Visual,14.34,9,Bachelor's,Medium,No,4.07,5.1
Kenneth Keller,Female,3/16/1958,Rajarata University,4th,2.45,Kinesthetic,26.59,5,Ph.D.,Low,Yes,1.33,6.99
Jordan Martinez,Male,8/6/1920,University of Ruhuna,1st,2.18,Kinesthetic,23.61,4,Bachelor's,Medium,No,3.48,5.87
Thomas Martinez,Male,3/20/2001,University of Kelaniya,3rd,3.53,Visual,6.28,3,Ph.D.,Medium,No,1.98,5.93
Julie Gibson,Female,3/17/1931,University of Ruhuna,4th,3.45,Kinesthetic,20.04,4,Bachelor's,Medium,Yes,0.45,6.92
Jason Bennett,Female,10/6/1942,University of Peradeniya,1st,3.95,Auditory,27.78,8,High School,Medium,Yes,4.83,7.6
Gabriela Short,Male,11/6/1917,University of Moratuwa,2nd,2.97,Visual,17.7,7,Bachelor's,Medium,No,1.47,7.51
David Castillo,Female,3/16/2020,Rajarata University,2nd,2.58,Kinesthetic,19.4,1,Master's,Medium,No,4.16,8.63
Allison Cummings,Female,11/27/1965,University of Peradeniya,4th,3.88,Kinesthetic,10.9,4,Other,High,Yes,3.69,7
Jared Duran,Female,11/12/1956,University of Jaffna,1st,3.39,Visual,29.89,6,Master's,Medium,Yes,2.77,4.4
Jeffrey King,Male,1/9/1972,University of Moratuwa,2nd,2.19,Kinesthetic,22.66,7,Ph.D.,High,Yes,0.27,7.75
Darren Campbell,Female,9/16/1928,Sabaragamuwa University,3rd,3.96,Kinesthetic,16.8,8,High School,Low,Yes,4.76,7.17
Linda Noble,Male,5/27/2000,Rajarata University,1st,2.71,Auditory,28.47,3,Ph.D.,High,No,2.68,9.15
Kelly Miller,Male,3/13/1941,University of Kelaniya,4th,3.49,Visual,21.59,10,Other,Low,Yes,3.01,8.05
Joseph Nunez,Male,2/19/2006,Rajarata University,2nd,2.04,Auditory,5.88,5,High School,Low,No,0.44,8.31
Brittney Johnson,Male,8/21/1993,University of Moratuwa,1st,2.29,Kinesthetic,10.13,5,Other,Medium,No,4.95,6.38
Renee Cannon,Female,1/28/1942,Eastern University,2nd,3.79,Auditory,26.54,3,Bachelor's,High,Yes,2.61,9.33
Michael Jenkins,Male,4/9/1964,University of Peradeniya,1st,3.65,Kinesthetic,11.74,5,Other,Low,Yes,2.87,5.26
James Cobb,Male,1/19/1942,Rajarata University,2nd,2.1,Visual,19.37,8,Master's,High,No,2.69,7.4
Tonya Barron,Male,12/15/2016,University of Ruhuna,3rd,2.66,Auditory,25.83,3,Bachelor's,Medium,No,4.55,9.17
Kelly Ramsey,Female,5/17/2006,University of Peradeniya,1st,3.04,Kinesthetic,18.92,3,High School,Medium,No,1.5,9.98
Thomas Marquez,Male,6/1/1970,University of Ruhuna,2nd,2.64,Kinesthetic,8.26,3,Other,Low,No,1.65,9.9
Jessica Schultz,Female,11/26/1987,Rajarata University,4th,3.74,Kinesthetic,25.92,7,Bachelor's,Medium,Yes,0.65,5.87
Stephanie Duncan,Male,11/26/1916,Eastern University,3rd,2.76,Auditory,27.63,5,Other,High,No,2.25,5.63
Jeremy Sanchez,Female,10/11/2000,University of Peradeniya,1st,3.81,Auditory,14.51,8,Master's,Low,No,1.6,4.68
Sarah Peters,Male,6/15/1949,Sabaragamuwa University,4th,2.42,Kinesthetic,8.16,3,Bachelor's,Medium,No,0.99,9.72
Andrew Anderson,Female,1/17/1939,University of Peradeniya,2nd,2.17,Kinesthetic,14.94,9,Bachelor's,Low,Yes,4.3,8.44
Michael Walker,Female,11/27/1945,University of Kelaniya,3rd,2.89,Visual,5.16,4,Bachelor's,Medium,Yes,4.45,7.44
Shannon Todd,Male,1/15/2011,Rajarata University,3rd,3.91,Visual,23,4,Other,Medium,No,1.26,6.75
Matthew Mcneil,Female,11/16/1919,University of Jaffna,2nd,3.04,Visual,19.29,4,Bachelor's,Medium,Yes,0.55,7.95
Gina Jennings,Female,4/30/2022,University of Moratuwa,3rd,3.41,Visual,19.99,5,High School,High,Yes,0.17,4.45
Justin Kelly,Female,9/1/1961,University of Colombo,1st,3.83,Visual,11.09,4,High School,Medium,No,3.67,5.55
Jeffrey Alvarado,Female,9/1/1980,University of Jaffna,3rd,2.94,Kinesthetic,18.64,3,Master's,Low,No,1.1,7.78
Julie Thomas,Male,8/31/1966,University of Ruhuna,3rd,3.03,Kinesthetic,5.58,7,Bachelor's,High,No,1.93,5.97
Nicole Finley,Female,3/2/1915,Sabaragamuwa University,4th,3.1,Auditory,21.68,1,Bachelor's,Low,Yes,0.8,6.18
John Fernandez,Female,9/19/1996,Sabaragamuwa University,2nd,2.84,Auditory,24.42,4,High School,High,No,1.89,8.18
Michele Smith,Female,6/1/1954,Eastern University,2nd,3.93,Kinesthetic,20.23,3,High School,Medium,No,4.69,6.36
Scott Richards,Female,10/26/1963,University of Kelaniya,3rd,2.74,Auditory,29.66,3,Master's,Low,No,0.34,5.58
Jennifer Clark,Female,3/11/2003,University of Moratuwa,1st,2.58,Visual,13.19,3,Master's,Low,No,4.41,9.26
Zachary Taylor,Female,1/14/1944,University of Jaffna,3rd,2.04,Kinesthetic,24.93,8,Ph.D.,High,Yes,0.63,9.36
Katherine James,Female,3/30/1924,University of Colombo,3rd,3.39,Kinesthetic,29.72,6,Other,Low,Yes,2.36,6.73
Angela Cordova,Male,3/9/1913,University of Peradeniya,2nd,2.18,Kinesthetic,13.2,7,Ph.D.,High,Yes,0.25,8.91
Adrian Barnes DDS,Male,12/6/1987,Eastern University,2nd,2.84,Visual,7.59,2,High School,Low,No,4.73,4.51
Patrick Saunders,Male,8/3/1915,Sabaragamuwa University,2nd,3.75,Auditory,19.64,8,Master's,Low,Yes,2.97,7.05
Walter Johnson,Male,9/24/1976,University of Colombo,4th,2.35,Visual,20.13,6,Other,Medium,No,3.39,4.62
Kayla Hernandez,Male,10/19/1915,Sabaragamuwa University,4th,2.33,Auditory,15.23,9,Other,High,Yes,0.36,9.38
Kevin Ramirez,Male,12/27/1920,Rajarata University,1st,2.45,Auditory,6.52,4,Other,Medium,No,1.12,9.51
Colleen Cruz,Female,8/1/1953,Eastern University,2nd,2.61,Visual,28.36,5,Other,High,Yes,3.48,5.51
Gina Holloway,Male,10/1/1941,University of Peradeniya,3rd,2.16,Auditory,15.5,5,Bachelor's,Medium,No,4.54,4.17
Brandon Moore,Male,5/1/1920,University of Ruhuna,3rd,3.02,Visual,24.59,2,High School,Medium,Yes,2.14,9.1
Kristy Brown,Male,2/24/2017,Eastern University,3rd,2.18,Auditory,9.03,8,Bachelor's,High,No,1.29,5.48
Karen Flores PhD,Male,9/7/2017,University of Moratuwa,3rd,3.13,Auditory,29.44,4,High School,High,No,0.1,6.17
Jeffrey Beck,Female,7/25/2019,University of Peradeniya,3rd,3.62,Kinesthetic,27.28,1,Ph.D.,Low,Yes,1.22,9.88
Pamela Mcclure,Female,8/15/2021,University of Jaffna,3rd,2.88,Kinesthetic,6.89,10,High School,Medium,Yes,3.56,5.33
Jeffrey Johnson,Male,5/25/2013,Eastern University,2nd,2.51,Kinesthetic,21.42,9,Master's,Medium,Yes,2.25,5.05
James Cooper,Male,7/21/1973,University of Peradeniya,2nd,3.1,Visual,5.99,2,Bachelor's,Low,Yes,2.12,9.96
Robert Lopez,Male,10/15/1954,University of Jaffna,1st,2.15,Visual,29.72,9,Other,Medium,Yes,2.6,6.43
Kimberly Morgan,Female,12/11/1993,Eastern University,3rd,3.01,Visual,19.98,2,Master's,Low,Yes,2.45,8.2
Candice Simpson,Female,8/25/1968,University of Colombo,3rd,3.73,Auditory,17.14,10,Master's,Medium,No,2.95,5.14
Scott Rivera,Female,4/6/1934,University of Ruhuna,4th,2.93,Visual,7.62,3,Bachelor's,High,No,1.11,7.94
Zachary Austin,Male,11/16/1997,University of Colombo,2nd,3.29,Auditory,28.41,5,Bachelor's,High,Yes,3,5.95
Richard Jones,Male,10/22/1926,University of Moratuwa,1st,3.91,Auditory,20.72,3,Other,High,Yes,0.38,6.73
Kelly Callahan,Male,7/2/1983,University of Peradeniya,2nd,3.58,Kinesthetic,11.12,5,Master's,Low,Yes,4.57,4.72
Karina Meyer,Male,1/24/2018,University of Jaffna,4th,3.77,Auditory,8.73,2,Master's,Medium,Yes,2.71,6.58
Hannah Grant,Male,12/27/1969,Rajarata University,4th,3.55,Visual,27.16,3,High School,High,No,4.8,6.02
Whitney Steele,Female,10/5/1924,Eastern University,2nd,3.5,Kinesthetic,16.53,10,Bachelor's,High,Yes,1.36,9.72
Jennifer Lynch,Male,6/17/1949,Rajarata University,2nd,3.18,Auditory,29.89,7,Other,Low,No,1.87,8.07
Hannah Adams,Male,2/21/1967,Eastern University,3rd,3.05,Visual,11.55,4,Other,Medium,No,2.42,4.78
Hannah Cooke,Male,1/5/1958,University of Moratuwa,2nd,3.48,Kinesthetic,18.95,6,Bachelor's,High,Yes,1.3,6.61
Cindy Clayton,Female,3/9/1925,Rajarata University,4th,3.12,Visual,18.94,10,Other,High,No,2.58,8.96
Mrs. Mary Hammond,Male,4/13/1977,University of Jaffna,1st,2.28,Auditory,12.79,8,Ph.D.,High,Yes,4.35,7.71
Robert Parker,Male,12/22/2009,University of Kelaniya,4th,2.83,Kinesthetic,19.44,6,Other,Low,No,4.4,6.81
Tiffany Johnson,Female,8/10/2020,University of Colombo,2nd,2.44,Visual,14.09,3,Other,High,Yes,4.48,8.87
Ebony Wilson,Female,12/6/1928,University of Jaffna,2nd,2.42,Kinesthetic,10.31,3,Master's,High,Yes,0.43,7.44
Veronica Hunt,Female,4/3/1984,Sabaragamuwa University,2nd,3.19,Kinesthetic,24.59,9,Bachelor's,High,Yes,4.48,5.33
Jerry Perry,Female,6/2/1910,University of Moratuwa,1st,2.86,Visual,22.98,9,High School,Medium,No,0.49,8.25
Jennifer Miller,Female,4/9/1925,University of Ruhuna,1st,2.74,Auditory,14.06,4,High School,Medium,No,4.08,5.67
Yesenia Thompson,Male,6/12/1967,Eastern University,1st,3.47,Kinesthetic,26.46,3,Ph.D.,High,No,2.42,7.86
Jeffrey Hale,Male,3/28/1978,University of Jaffna,4th,3.06,Auditory,13.06,1,Master's,High,No,3.01,5
Russell Little,Male,8/24/1936,Rajarata University,1st,3.38,Auditory,29.68,10,Other,High,Yes,4.55,8.26
Seth Stanley,Female,2/13/1993,University of Kelaniya,3rd,3.06,Kinesthetic,6.6,4,High School,Medium,Yes,3.98,7.56
Joshua Krause,Female,5/16/2011,Sabaragamuwa University,3rd,3.27,Kinesthetic,12.47,10,Master's,Low,Yes,3.85,4.6
Michael Atkinson,Male,6/2/2020,Rajarata University,4th,3.52,Kinesthetic,23.64,8,Other,Medium,Yes,3.06,8.81
Brenda Harper,Male,12/13/1919,University of Colombo,4th,2.63,Kinesthetic,22.24,5,Ph.D.,Medium,No,1.22,6.13
Jennifer Aguilar,Male,2/28/1987,University of Kelaniya,2nd,2.56,Kinesthetic,19.74,10,Ph.D.,High,Yes,2.63,8.72
Erik Stokes,Male,7/23/1968,University of Peradeniya,2nd,3.93,Auditory,8.26,9,Master's,Low,Yes,1.01,9.15
Jerry Martinez MD,Male,11/13/1988,University of Peradeniya,3rd,3.68,Auditory,18.36,1,Bachelor's,High,No,4.45,4.3
Crystal Morton,Female,3/2/2016,University of Peradeniya,1st,2.57,Kinesthetic,14.64,1,Ph.D.,Low,No,1.24,8.25
David Parker,Female,2/13/1941,University of Moratuwa,4th,2.92,Kinesthetic,24.75,10,Bachelor's,High,Yes,0.73,6.5
Sue Horne,Male,2/15/2010,University of Jaffna,4th,2.62,Auditory,16.55,3,High School,Low,Yes,0.12,9.89
Paul Fox,Female,5/28/1918,Eastern University,2nd,3.38,Kinesthetic,5.04,10,High School,High,Yes,1.65,8.53
David Campbell,Male,9/8/1912,University of Jaffna,1st,3.58,Visual,19.83,4,Other,Low,Yes,2.22,7.18
John Zuniga,Male,3/15/2015,Sabaragamuwa University,3rd,2.37,Visual,11.3,7,Bachelor's,High,No,0.75,9.77
Michael Dickerson,Male,12/5/1937,University of Jaffna,4th,2.53,Auditory,7.63,8,High School,Medium,Yes,4.63,8.82
David Walker,Female,4/30/1990,University of Jaffna,4th,3.35,Kinesthetic,25.41,8,High School,High,Yes,3.44,4.03
Charles Arnold,Male,5/21/1933,University of Colombo,3rd,2.91,Visual,18.7,9,Other,Medium,Yes,3.51,4.84
Alexander Hall,Female,2/19/1976,Eastern University,4th,3.85,Kinesthetic,18.79,6,Other,Medium,Yes,2.31,7.38
Jennifer Stephenson,Male,5/14/1947,University of Jaffna,2nd,2.25,Auditory,8.43,2,Ph.D.,Medium,No,1.93,7.92
Dana Castro,Male,10/5/1991,Eastern University,4th,3.38,Visual,18.81,5,High School,Medium,Yes,2.03,4.15
Lauren Jackson,Female,4/16/1994,University of Ruhuna,3rd,3.64,Visual,27.19,6,Ph.D.,Low,No,4.55,6.07
William Evans,Female,7/25/2012,University of Peradeniya,4th,3.08,Kinesthetic,29.79,6,Other,Low,Yes,1.21,6.45
Rebecca Harmon,Female,1/31/2001,Rajarata University,1st,2.88,Kinesthetic,17.28,5,Other,Low,No,4.4,5.48
Rachel Boone,Female,2/10/1960,University of Colombo,2nd,2.26,Kinesthetic,13.81,10,Bachelor's,High,No,3.58,9.52
Christopher Wagner,Female,8/30/1922,University of Peradeniya,1st,2.38,Visual,28.19,5,Bachelor's,High,Yes,4,9.14
Joseph Snyder,Female,10/10/1985,Eastern University,2nd,2.89,Auditory,19.69,5,Other,Medium,No,3.87,4.29
Brady Smith,Female,11/5/1958,University of Peradeniya,4th,2.21,Kinesthetic,29.97,5,Bachelor's,Medium,No,0.87,7.47
Angela Nixon,Male,2/11/1990,University of Jaffna,4th,2.29,Kinesthetic,18.67,5,Master's,Medium,Yes,3.52,6.45
Dr. Joanna Hill,Female,7/10/2022,Rajarata University,2nd,2.21,Visual,25.57,3,High School,Low,Yes,0.51,8.51
Gregory Foster,Male,9/23/1946,University of Jaffna,4th,2.71,Auditory,20.85,10,High School,High,No,2.61,9.22
Stephanie Moore,Male,5/12/1959,Sabaragamuwa University,1st,3.87,Kinesthetic,22.14,8,High School,Medium,No,0.71,6.66
Daniel Williams,Male,9/17/1947,University of Jaffna,2nd,3.53,Auditory,6.3,4,Ph.D.,Medium,Yes,1.11,9.56
Kayla Jones,Male,2/28/1945,Rajarata University,4th,3.66,Auditory,15.98,8,Bachelor's,Medium,Yes,1.79,4.96
Jerry Strickland,Female,1/9/1936,University of Kelaniya,4th,2.88,Kinesthetic,22.34,3,Other,Medium,Yes,1.95,8.76
Brandy Sims,Female,10/28/1948,University of Ruhuna,1st,3.18,Auditory,13.68,7,High School,Low,Yes,2.9,7.3
Alexis Hernandez,Female,11/20/1949,Eastern University,4th,3.18,Auditory,16.83,9,High School,High,Yes,4.71,9.55
Holly Stuart,Female,6/21/1949,University of Ruhuna,3rd,2.9,Kinesthetic,18.73,4,Ph.D.,Medium,No,2.69,8.97
Melissa Anderson,Female,11/7/2017,Sabaragamuwa University,3rd,3.4,Kinesthetic,25.67,3,Other,High,Yes,1.41,6.46
Nicholas Bass,Female,6/1/1951,University of Ruhuna,1st,2.04,Kinesthetic,7.35,4,High School,Medium,Yes,0.67,4.74
James Wells,Female,11/30/1909,University of Peradeniya,3rd,3.36,Visual,12.92,4,Ph.D.,High,Yes,1.02,8.39
John Phillips,Male,10/25/2019,University of Colombo,2nd,2.5,Auditory,18.86,5,Bachelor's,Low,Yes,1.46,6.44
Susan Bailey,Female,4/17/1975,Rajarata University,1st,3.4,Kinesthetic,7.51,9,Bachelor's,Low,No,0.29,7.28
Jamie Riley,Male,8/24/1943,University of Colombo,4th,3.83,Auditory,25,4,Other,High,No,4.16,9.45
Kathryn Craig,Female,12/21/1999,Rajarata University,3rd,3.08,Visual,25.89,4,High School,Low,Yes,4.31,6.24
Sarah Lopez,Female,6/12/1910,Eastern University,3rd,3.81,Kinesthetic,5.93,8,Other,Medium,Yes,3.99,9.97
